Name of Restaurant,Location,Cuisine,Top Dishes,PRICE,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Salem RR Briyani Unavagam,Selaiyur,"['Biryani', ' Chettinad', ' North Indian', ' Chinese']","['Biryani', ' Paratha', ' Chicken 65']",300.0,4.1,356,3.8,5287,"['Home Delivery', 'Indoor Seating']"
Salem RR Briyani Unavagam,Sholinganallur,"['Biryani', ' Chinese', ' North Indian', ' Seafood', ' Beverages']","['Chicken Biryani', ' Tandoori Chicken', ' Faluda', ' Crab Soup', ' Mutton Chukka', ' Chicken 65', ' Lime Soda']",275.0,3.6,327,3.7,351,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
Salem RR Briyani Unavagam,Tambaram,"['Biryani', ' Chinese', ' North Indian', ' Seafood', ' Beverages']","['Paratha', ' Chicken 65', ' Biryani', ' Kothu Parotta']",275.0,4.0,328,4.0,2317,"['Home Delivery', 'Indoor Seating', 'Catering Available']"
Salem RR Briyani Unavagam,Ramapuram,"['Biryani', ' Chinese', ' South Indian', ' Seafood']","['Brinjal Gravy', ' Paratha', ' Brinjal Curry', ' Mutton Biryani', ' Omelette']",350.0,4.0,319,3.6,171,"['Home Delivery', 'Indoor Seating']"
Salem RR Briyani Unavagam,Valasaravakkam,"['Biryani', ' Chettinad', ' North Indian', ' Chinese']",['Chicken 65'],300.0,3.8,235,0.0,0,"['Home Delivery', 'Catering Available', 'Indoor Seating']"
Salem RR Briyani Unavagam,Maduravoyal,"['Biryani', ' Chinese', ' South Indian', ' Seafood']",['Chicken 65'],350.0,3.9,168,4.0,1074,"['Home Delivery', 'Indoor Seating']"
Salem RR Biryani Unavagam,Arumbakkam,"['Biryani', ' Chinese', ' North Indian', ' Seafood', ' Beverages']",Not Mentioned,275.0,3.9,153,3.6,202,"['Home Delivery', 'Indoor Seating', 'Catering Available']"
Salem RR Biryani Unavagam,Injambakkam,"['South Indian', ' Biryani', ' Chettinad', ' North Indian', ' Chinese']",Not Mentioned,300.0,3.4,26,3.8,172,"['Home Delivery', 'Indoor Seating']"
Salem RR Biryani Unavagam,Tambaram,"['Biryani', ' Chinese', ' South Indian', ' Seafood']",Not Mentioned,350.0,3.0,18,3.8,130,"['Home Delivery', 'Indoor Seating', 'Catering Available']"
Salem RR Biriyani Unavagam,Velachery,"['Biryani', ' Chinese', ' South Indian', ' Seafood']",Not Mentioned,350.0,0.0,0,3.9,22,['Delivery Only']
Salem RR Briyani Unavagam,T. Nagar,"['Biryani', ' Chinese', ' South Indian', ' Seafood']",Not Mentioned,350.0,3.2,5,0.0,0,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required', 'Catering Available']"
Zaitoon,Anna Nagar East,"['North Indian', ' Arabian', ' Chinese']","['Shawarma', ' Chicken Grill', ' Mutton Biryani', ' Chicken Butter Masala', ' Chicken Biryani', ' Bbq Chicken', ' Kerala Parotta']",450.0,4.2,1263,4.2,11300,"['Home Delivery', 'Serves Halal', 'Table booking for Groups', 'Card Upon Delivery', 'Catering Available', 'Free Parking', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended', 'Table reservation required', 'Kid Friendly', 'Sports TV']"
Zaitoon,Velachery,"['North Indian', ' Arabian', ' Chinese']","['Shawarma', ' Barbeque Chicken', ' Bbq Chicken', ' Biryani', ' Bbq Fish', ' Brownie', ' Faluda']",450.0,4.1,2275,4.3,16600,"['Home Delivery', 'Serves Halal', 'Free Parking', 'Valet Parking Available', 'Indoor Seating', 'Table booking for Groups', 'Kid Friendly', 'Buffet', 'Sports TV', 'Table booking recommended', 'Card Upon Delivery', 'Catering Available']"
Zaitoon,Nungambakkam,"['North Indian', ' Arabian', ' Chinese']","['Chicken Grill', ' Bbq Chicken', ' Shawarma', ' Biryani', ' Faluda', ' Butter Chicken', ' Barbeque Chicken']",450.0,4.2,1065,4.4,8488,"['Home Delivery', 'Serves Halal', 'Free Parking', 'Indoor Seating', 'Valet Parking Available', 'Table booking recommended', 'Card Upon Delivery', 'Catering Available']"
Zaitoon,Adyar,"['North Indian', ' Arabian', ' Chinese']","['Chicken Grill', ' Shawarma', ' Barbeque Chicken', ' Kerala Parotta', ' Sizzler Brownie', ' Vegetable Biryani', ' Faluda']",450.0,4.2,2252,4.3,16500,"['Home Delivery', 'Serves Halal', 'Free Parking', 'Indoor Seating', 'Table booking recommended', 'Card Upon Delivery', 'Catering Available', 'Wifi', 'Valet Parking Available']"
Zaitoon,Egatoor,"['North Indian', ' Arabian', ' Chinese']","['Chicken Grill', ' Tandoori Chicken', ' Paneer Tikka Masala', ' Brownie', ' Barbeque Chicken', ' Chicken Biryani', ' Cheese Balls']",450.0,3.7,141,3.9,102,"['Home Delivery', 'Serves Halal', 'Free Parking', 'Indoor Seating', 'Table booking recommended', 'Table reservation required', 'Catering Available', 'Valet Parking Available', 'Table booking for Groups', 'Kid Friendly']"
Nithya Amirtham,Aminijikarai,"['Mithai', ' Street Food', ' South Indian']","['Chaat', ' Pizza']",100.0,4.0,98,4.4,1729,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']"
Nithya Amirtham Sweets,Kilpauk,"['Mithai', ' Street Food', ' South Indian']",Not Mentioned,100.0,0.0,0,4.5,957,"['Home Delivery', 'Vegetarian Only', 'Pre-Ordering Required', 'Desserts and Bakes']"
Nithya Amirtham Sweets,Arumbakkam,"['Mithai', ' Street Food', ' South Indian']",Not Mentioned,100.0,3.8,61,4.2,1364,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']"
Hotel Crescent,Anna Nagar West,"['North Indian', ' Chinese', ' South Indian', ' Biryani']","['Chicken Grill', ' Sea Food', ' Shawarma Roll', ' Ghee Rice', ' Fish Finger', ' Mutton Soup', ' Faluda']",325.0,3.9,392,4.0,1174,"['Home Delivery', 'Table Reservation Not Required', 'Indoor Seating']"
Hotel Crescent,Adyar,"['Kerala', ' South Indian', ' Biryani', ' North Indian', ' Chinese']","['Fish', ' Paratha', ' Sexy Chicken', ' Tandoori Chicken', ' Kozhi Fry', ' Charcoal Grill', ' Elaneer Payasam']",325.0,4.0,495,3.8,2419,"['Home Delivery', 'Indoor Seating']"
Hotel Crescent,Maduravoyal,"['North Indian', ' Chinese', ' South Indian', ' Biryani']","['Chicken Grill', ' Paratha', ' Chicken Curry', ' Bbq Chicken']",325.0,3.2,126,0.0,0,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']"
Hotel Crescent,Poonamalle,"['Chettinad', ' Chinese', ' North Indian', ' Kebab', ' Biryani']",Not Mentioned,250.0,3.6,67,0.0,0,"['Home Delivery', 'Indoor Seating', 'Table reservation required', 'Catering Available', 'Wifi']"
Rasavid,Thuraipakkam,"['Andhra', ' Hyderabadi', ' Chinese', ' North Indian', ' Biryani']","['Ice Cream Roll', ' Prawn', ' Butter Naan', ' Chicken Vepudu', ' Hyderabadi Biryani', ' Bbq Fish', ' Gulab Jamun']",400.0,4.2,633,3.4,4202,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
Rasavid,Semmancheri,"['Andhra', ' Hyderabadi', ' Chinese', ' North Indian', ' Biryani']","['Hyderabadi Biryani', ' Dum Biryani', ' Malabar Fish Curry', ' Gulab Jamun', ' Salad', ' Manchow Soup', ' Haleem']",400.0,3.8,639,3.4,3927,"['Home Delivery', 'Table booking recommended', 'Indoor Seating', 'Catering Available', 'Buffet']"
Rasavid,Karapakkam,"['Andhra', ' Hyderabadi', ' Chinese', ' North Indian', ' Biryani']","['Hyderabadi Dum Biryani', ' Prawn', ' Fry Prawns', ' Dragon Chicken', ' Haleem', ' Carrot Halwa', ' Vegetable Biryani']",400.0,4.0,1387,3.7,7855,"['Home Delivery', 'Indoor Seating', 'Catering Available', 'Table booking recommended']"
